E	parallel tempering	Wang-Landau	REWL	exact
-640.0	-188.86027097824945	-187.9987087249756	-187.94363403320312	-187.93059458529814
-636.0	-186.95868802106565	-186.16914749145508	-186.1020107269287	-186.1000862859804
-632.0	-185.27991386667065	-184.35770416259766	-184.26759147644043	-184.27648474143652
-628.0	-183.4092268849961	-182.52837562561035	-182.4499912261963	-182.45953738521428
-624.0	-181.5905378757783	-180.70252799987793	-180.6435317993164	-180.64900109153325
-620.0	-179.58926830659493	-178.8899040222168	-178.82852935791016	-178.84464136805028
-616.0	-177.6878046193492	-177.09993171691895	-177.02118492126465	-177.046231406819
-612.0	-176.16689281773438	-175.31139373779297	-175.21173667907715	-175.25355129003157
-608.0	-174.52338519338252	-173.50994300842285	-173.4227466583252	-173.46638721829186
-604.0	-172.99438294073786	-171.71280479431152	-171.62774467468262	-171.684530847004
-600.0	-170.78201343383364	-169.941743850708	-169.85904693603516	-169.90777871970928
-596.0	-169.00043999776824	-168.1517105102539	-168.06891441345215	-168.13593184167848
-592.0	-167.31943531764512	-166.3847942352295	-166.2922878265381	-166.36879541811285
-588.0	-165.53792297228472	-164.61091232299805	-164.52734565734863	-164.60617879516872
-584.0	-163.73475613913104	-162.85458374023438	-162.7657299041748	-162.8478956375941
-580.0	-162.02169757494596	-161.09659957885742	-161.00936317443848	-161.09376437702366
-576.0	-160.00357192236572	-159.34058380126953	-159.2622184753418	-159.34360895836144
-572.0	-158.5598745781175	-157.59448623657227	-157.50988960266113	-157.59725990278662
-568.0	-156.7476907241944	-155.8554515838623	-155.75378608703613	-155.85455569226002
-564.0	-155.36345026979416	-154.09791564941406	-154.02059173583984	-154.11534446321963
-560.0	-153.25856420159357	-152.36078643798828	-152.29220390319824	-152.37948597662916
-556.0	-151.59683412561174	-150.62744140625	-150.56194877624512	-150.6468538091143
-552.0	-149.71960693554308	-148.91308403015137	-148.82556343078613	-148.91733768724922
-548.0	-148.06233316314388	-147.1801929473877	-147.1028537750244	-147.19084586639607
-544.0	-146.28349123430223	-145.46357345581055	-145.37979888916016	-145.46730743929643
-540.0	-144.46171426055093	-143.73316955566406	-143.64043426513672	-143.74667445027205
-536.0	-142.79925936252312	-142.01918411254883	-141.92627334594727	-142.02892369038514
-532.0	-141.01582929128722	-140.30207443237305	-140.20827674865723	-140.31405805839762
-528.0	-139.6705777777114	-138.57775497436523	-138.49497604370117	-138.60210739190595
-524.0	-137.8274915507311	-136.86523818969727	-136.799955368042	-136.8931287014055
-520.0	-136.2273745495619	-135.14754104614258	-135.10869598388672	-135.18720577485158
-516.0	-134.4904367339717	-133.4387378692627	-133.40449333190918	-133.4844481582213
-512.0	-132.58349173151908	-131.73319244384766	-131.70019340515137	-131.78498955488072
-508.0	-130.96948504996203	-130.031099319458	-130.00013732910156	-130.08898571958196
-504.0	-129.2830844147228	-128.34196662902832	-128.31480026245117	-128.3966119486418
-500.0	-127.5273449803251	-126.64942741394043	-126.63420295715332	-126.7080602843269
-496.0	-126.00753973379494	-124.9512939453125	-124.96964836120605	-125.02353655795238
-492.0	-124.09540044873211	-123.28932189941406	-123.28389739990234	-123.34325739317447
-488.0	-122.85054435300697	-121.62128067016602	-121.62585830688477	-121.66744727988342
-484.0	-120.82248137883562	-119.94730567932129	-119.96116638183594	-119.99633581209801
-480.0	-119.32562428303106	-118.28728485107422	-118.30011558532715	-118.33015516270251
-476.0	-117.68091914664569	-116.64338111877441	-116.62506484985352	-116.6691378460527
-472.0	-115.81205129462592	-114.99200630187988	-114.96222877502441	-115.01351479836248
-468.0	-114.17296981677896	-113.33347702026367	-113.3219108581543	-113.36351378683764
-464.0	-112.77318671019702	-111.69239234924316	-111.68547630310059	-111.71935814267414
-460.0	-111.01203061653337	-110.05371856689453	-110.0461654663086	-110.08126580071294
-456.0	-109.40127148184047	-108.4289436340332	-108.4209098815918	-108.44944861975915
-452.0	-107.89137524479361	-106.80058097839355	-106.79374504089355	-106.82411195204705
-448.0	-106.15114853105229	-105.18292427062988	-105.17720603942871	-105.20545442759831
-444.0	-104.6183989601767	-103.57320022583008	-103.5620288848877	-103.59366791873063
-440.0	-102.8884272755331	-101.9864559173584	-101.96590423583984	-101.98893765116506
-436.0	-101.25517769734199	-100.3933334350586	-100.3650894165039	-100.39144243054028
-432.0	-99.81217180836961	-98.82071113586426	-98.76098251342773	-98.80135495622619
-428.0	-98.16468176304136	-97.24349975585938	-97.17956352233887	-97.21884219778067
-424.0	-96.6343881504373	-95.67539596557617	-95.61544036865234	-95.64406581294088
-420.0	-94.98547656936012	-94.10421752929688	-94.04827499389648	-94.07718258948827
-416.0	-93.4314815218828	-92.55259132385254	-92.49812698364258	-92.51834489654868
-412.0	-91.97447507887603	-91.00551986694336	-90.94830131530762	-90.96770113380506
-408.0	-90.36880946420115	-89.4585952758789	-89.4091968536377	-89.42539616967923
-404.0	-88.97246212413688	-87.91248321533203	-87.85893821716309	-87.89157176176786
-400.0	-87.31076283912705	-86.38647270202637	-86.33391761779785	-86.36636695471185
-396.0	-85.77200021033752	-84.8731918334961	-84.8167552947998	-84.84991845225753
-392.0	-84.2878305655571	-83.35269546508789	-83.32050132751465	-83.34236096156539
-388.0	-82.80576902446398	-81.8598804473877	-81.81621551513672	-81.84382750886729
-384.0	-81.28882357299881	-80.37085342407227	-80.32320022583008	-80.35444972640039
-380.0	-79.88074919777921	-78.89386940002441	-78.84893608093262	-78.87435811118618
-376.0	-78.32823206838657	-77.41889381408691	-77.38430213928223	-77.40368225670386
-372.0	-76.83211115997267	-75.9490852355957	-75.92244720458984	-75.94255105885495
-368.0	-75.46348306967866	-74.496826171875	-74.47168350219727	-74.49109289785346
-364.0	-74.17253585459332	-73.05769348144531	-73.02894973754883	-73.04943579782221
-360.0	-72.65429941894104	-71.61544799804688	-71.60406494140625	-71.61770756594888
-356.0	-71.26448512551804	-70.18733024597168	-70.19451522827148	-70.1960359130693
-352.0	-69.7696614820511	-68.7599868774414	-68.78191184997559	-68.78454855751326
-348.0	-68.33493203739602	-67.36037826538086	-67.37127494812012	-67.38337331398131
-344.0	-66.82403464852666	-65.96379852294922	-66.00309181213379	-65.99263816912602
-340.0	-65.55679533891612	-64.59588432312012	-64.62700843811035	-64.6124713454009
-336.0	-64.15803884832974	-63.222530364990234	-63.263607025146484	-63.24300135461468
