E	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
-72.0	0.0	-8.584290934948731	-20.31936745887553	-31.8855018821769	-43.39244951546059	-54.94806083688076	-66.47260850167878	-77.97066395398228	-89.52176150556603	-100.99634107461877
-68.0	0.0	-10.139231385826076	-21.919906587540133	-33.466740604161544	-45.02332882486638	-56.540246311106145	-68.06896638197502	-79.57772317007303	-91.12530123794268	-102.59660230321838
-64.0	0.0	-11.713864306296246	-23.494906688223416	-35.02747790544048	-46.570078670720456	-58.10179644886982	-69.6385653855245	-81.14379128476828	-92.65838535683906	-104.16532293011481
-60.0	-1.0986122886681098	-13.230936128305867	-25.00827759763888	-36.52135305136024	-48.08903181798323	-59.61207591647462	-71.15506491065923	-82.64349274402906	-94.15821659094067	-105.68507454644106
-56.0	-1.6094379124341003	-14.695535566399386	-26.46775134531931	-37.983552671035	-49.56709502140077	-61.06455145546707	-72.62758050740354	-84.1182910378026	-95.62416167589913	-107.14765114477284
-52.0	-4.060443010546419	-16.101192799246082	-27.850454409316505	-39.36677410735475	-50.94833904804167	-62.48488337861053	-74.01024124007375	-85.52617218406381	-97.01999637573164	-108.53745156598826
-48.0	-5.278114659230517	-17.428283397815456	-29.187068440383626	-40.6926469826908	-52.26047721283032	-63.79761712730868	-75.3353717809082	-86.86249596527824	-98.3735797353691	-109.86614942008227
-44.0	-6.593044534142437	-18.670993993443226	-30.447982279516527	-41.937229617132175	-53.48792281711708	-65.04359162962615	-76.58810296715556	-88.10507025295212	-99.63898391666069	-111.12255265896992
-40.0	-7.6544432264701125	-19.836253916663765	-31.637788524223424	-43.11522151750315	-54.66475852546995	-66.20400454550553	-77.75723667223488	-89.28224879834026	-100.81642681934395	-112.28610025631937
-36.0	-8.726481196440007	-20.923235561331186	-32.70694360328882	-44.18960571788175	-55.75152132702407	-67.28937352351817	-78.84044219826643	-90.36206969053056	-101.89524866152803	-113.37737465494473
-32.0	-9.721545923560459	-21.908583547110098	-33.69876188904157	-45.19148464669428	-56.74295752127674	-68.27871044588635	-79.81639681379804	-91.35786114357468	-102.87085660609502	-114.39949792750525
-28.0	-10.626387691245421	-22.79006940378146	-34.598310233358866	-46.08691226758272	-57.63929880143386	-69.1659595046578	-80.70012773589669	-92.24521056566597	-103.75661487426426	-115.29108654365547
-24.0	-11.431997365452988	-23.574815997845178	-35.384655786580765	-46.867091115752956	-58.433727949211686	-69.95061555452693	-81.48352010181247	-93.02225950167568	-104.54703448300306	-116.0817801464464
-20.0	-12.11890671114262	-24.25697349792847	-36.05827579394982	-47.54434380475016	-59.111710105398636	-70.63213736143919	-82.16446341211339	-93.69801469487727	-105.2160669951393	-116.76698164601356
-16.0	-12.692619920886537	-24.820558037012475	-36.62470430573265	-48.114135939287145	-59.683725251374916	-71.20764011114474	-82.72697499185571	-94.27038116407952	-105.78014162570659	-117.33008345295602
-12.0	-13.145548512858365	-25.26456978059889	-37.07348025305846	-48.55583310205163	-60.10828692515526	-71.64794195111739	-83.18214934084045	-94.71285578310577	-106.22587124402624	-117.76863702500735
-8.0	-13.466640788532322	-25.58739516840516	-37.395010593124226	-48.87898087363904	-60.426819711554444	-71.96713658311658	-83.50383716673758	-95.02668325914954	-106.5443176198475	-118.08955537428498
-4.0	-13.660660967289052	-25.784612079216906	-37.59115447050192	-49.07340420970369	-60.61950329480504	-72.16771868055372	-83.70315877828112	-95.21629422120444	-106.7486104639666	-118.28491060025328
0.0	-13.724646678699152	-25.85124312272753	-37.64276955141335	-49.13535964720564	-60.68241597089201	-72.23333062176627	-83.77267403933972	-95.2759632241377	-106.79986819315093	-118.34801600383092
4.0	-13.660608429203307	-25.785161860894334	-37.57020388177473	-49.077151515058425	-60.62040247857472	-72.17227938967989	-83.71421010565219	-95.21168685129811	-106.73148862020777	-118.2836540289156
8.0	-13.462115942147111	-25.584040380629148	-37.36742037238453	-48.892353456479036	-60.42405160677255	-71.97926998393304	-83.5158143145019	-95.01654573337142	-106.53551291038778	-118.07585897093401
12.0	-13.144353805795859	-25.26303136436551	-37.03835186256063	-48.57524772816944	-60.11265114854649	-71.65542663548561	-83.18806648856494	-94.68823087623255	-106.20383275640619	-117.75294549213812
16.0	-12.695747153197509	-24.817628079128887	-36.610583916819834	-48.13462734752391	-59.657790230846615	-71.21135847427885	-82.7357380892942	-94.2463308355906	-105.75248341627339	-117.30927264489
20.0	-12.132732839799525	-24.257004148841283	-36.04432125849172	-47.591097273837086	-59.09026858257465	-70.65023029354631	-82.16146432885557	-93.69119774547516	-105.19813531875091	-116.74254976081109
24.0	-11.44571671527678	-23.578680888986312	-35.36900321448875	-46.92187989496121	-58.41626453622617	-69.96676513034949	-81.47657574921952	-93.01314937909545	-104.51270587632672	-116.07168442975649
