S_N	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
41.5	0.0	188859.0	50848.0	16699.0	7279.0	35458.0	20339.0	26084.0	12141.0	36118.0
42.5	0.0	121593.0	52559.0	16608.0	6500.0	40240.0	21002.0	23434.0	13557.0	37247.0
43.5	0.0	78930.0	51549.0	15440.0	7580.0	38155.0	21166.0	24217.0	12411.0	39163.0
44.5	0.0	51782.0	50570.0	16061.0	7893.0	34854.0	22921.0	23529.0	11556.0	42035.0
45.5	0.0	33043.0	53131.0	15890.0	8065.0	32188.0	24460.0	20666.0	12859.0	38707.0
46.5	0.0	20820.0	53678.0	16148.0	8262.0	29892.0	26033.0	18759.0	13335.0	39284.0
47.5	0.0	12618.0	51688.0	17115.0	9451.0	26147.0	27461.0	17881.0	12659.0	40538.0
48.5	0.0	7770.0	51152.0	17986.0	10066.0	22562.0	28145.0	19158.0	12003.0	41486.0
49.5	0.0	4886.0	49482.0	18613.0	11101.0	18557.0	31162.0	18017.0	11329.0	45213.0
50.5	0.0	3124.0	46705.0	19559.0	10360.0	19154.0	30948.0	18187.0	10852.0	46801.0
51.5	0.0	1359.0	64821.0	20736.0	10510.0	17982.0	29822.0	19695.0	10076.0	48005.0
52.5	0.0	764.0	69681.0	21418.0	11345.0	15650.0	29551.0	20543.0	9034.0	53166.0
53.5	0.0	570.0	55751.0	21741.0	11889.0	15171.0	29652.0	19246.0	9988.0	48334.0
54.5	0.0	419.0	44954.0	21145.0	12821.0	14834.0	27713.0	19277.0	10507.0	47985.0
55.5	0.0	293.0	36372.0	21319.0	12294.0	16327.0	25686.0	19919.0	9745.0	52032.0
56.5	0.0	308.0	18772.0	22534.0	11434.0	18237.0	24327.0	19827.0	9072.0	58566.0
57.5	0.0	186.0	16990.0	21650.0	11541.0	18616.0	24783.0	19551.0	10942.0	52592.0
58.5	0.0	116.0	14934.0	20889.0	12380.0	18310.0	25497.0	19524.0	10976.0	52003.0
59.5	0.0	67.0	14098.0	22261.0	11199.0	20819.0	23497.0	19863.0	10560.0	53809.0
60.5	0.0	104.0	4682.0	23135.0	11664.0	20125.0	24518.0	20467.0	9542.0	58410.0
61.5	0.0	54.0	4314.0	26490.0	12069.0	19541.0	25064.0	21340.0	8433.0	63026.0
62.5	0.0	1.0	119168.0	28475.0	11831.0	18960.0	26408.0	21608.0	8494.0	62163.0
63.5	0.0	0.0	64813.0	29102.0	12468.0	17470.0	26353.0	21310.0	8988.0	57208.0
64.5	0.0	0.0	35185.0	27826.0	13410.0	14388.0	32259.0	19077.0	9019.0	60640.0
65.5	0.0	0.0	17776.0	29372.0	14516.0	12456.0	33115.0	18389.0	10276.0	58361.0
66.5	0.0	0.0	9244.0	29797.0	14971.0	12113.0	33142.0	18380.0	10186.0	60536.0
67.5	0.0	0.0	5100.0	28306.0	15652.0	10879.0	33034.0	18794.0	11972.0	52615.0
68.5	0.0	0.0	2349.0	31650.0	16626.0	10708.0	30766.0	19752.0	11853.0	51786.0
69.5	0.0	0.0	1003.0	35896.0	17353.0	11949.0	28446.0	19681.0	11541.0	51154.0
70.5	0.0	0.0	583.0	31704.0	16175.0	12524.0	27040.0	21276.0	11014.0	53837.0
71.5	0.0	0.0	238.0	37683.0	16112.0	13361.0	24285.0	22256.0	11550.0	52898.0
72.5	0.0	0.0	262.0	17221.0	15427.0	14013.0	23172.0	21078.0	12806.0	52474.0
73.5	0.0	0.0	142.0	15946.0	14031.0	14263.0	25030.0	19106.0	12071.0	58039.0
74.5	0.0	0.0	25.0	42481.0	14869.0	13899.0	26226.0	18366.0	10565.0	67246.0
75.5	0.0	0.0	1.0	523969.0	14426.0	14565.0	23925.0	18871.0	11063.0	67444.0
76.5	0.0	0.0	0.0	243052.0	14945.0	14937.0	22000.0	19885.0	11232.0	63281.0
77.5	0.0	0.0	0.0	111430.0	15461.0	13943.0	24894.0	18658.0	11102.0	62114.0
78.5	0.0	0.0	0.0	50268.0	14674.0	17031.0	24088.0	15263.0	11929.0	63829.0
79.5	0.0	0.0	0.0	23056.0	15259.0	15905.0	25684.0	14328.0	12739.0	58609.0
80.5	0.0	0.0	0.0	9655.0	18378.0	13608.0	25542.0	14991.0	12984.0	58055.0
81.5	0.0	0.0	0.0	3633.0	22155.0	13325.0	23634.0	17030.0	12950.0	55330.0
82.5	0.0	0.0	0.0	1423.0	26290.0	13554.0	22550.0	16263.0	12088.0	60256.0
83.5	0.0	0.0	0.0	537.0	31774.0	13265.0	21416.0	17511.0	10559.0	66078.0
84.5	0.0	0.0	0.0	371.0	20211.0	12956.0	21118.0	17773.0	10510.0	67866.0
85.5	0.0	0.0	0.0	178.0	17132.0	14376.0	20402.0	16923.0	11622.0	63285.0
86.5	0.0	0.0	0.0	104.0	12223.0	14323.0	22610.0	14036.0	12099.0	66693.0
87.5	0.0	0.0	0.0	69.0	7790.0	14277.0	23109.0	14085.0	9367.0	83561.0
88.5	0.0	0.0	0.0	84.0	2427.0	14710.0	24373.0	16260.0	7256.0	91651.0
89.5	0.0	0.0	0.0	56.0	1433.0	15972.0	23092.0	17169.0	7317.0	91484.0
90.5	0.0	0.0	0.0	0.0	81.0	817.0	1164.0	840.0	399.0	5039.0
91.5	0.0	0.0	0.0	0.0	0.0	22.0	47.0	30.0	15.0	253.0
92.5	0.0	0.0	0.0	0.0	0.0	29.0	21.0	1.0	0.0	13.0
93.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
97.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
98.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
99.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
