E	Sunny	MCX bridge	MCX native	exact
-668.0	-200.91919136047363	-201.0322322845459	-201.02846145629883	-200.96125570157076
-664.0	-199.0369758605957	-199.15857887268066	-199.13872909545898	-199.07429766165296
-660.0	-197.1506404876709	-197.26611137390137	-197.26673889160156	-197.19637786311029
-656.0	-195.29871559143066	-195.3938503265381	-195.41741943359375	-195.32713889511768
-652.0	-193.4523811340332	-193.54774475097656	-193.5582733154297	-193.4662509163217
-648.0	-191.58182907104492	-191.68927383422852	-191.73414421081543	-191.6133957241446
-644.0	-189.74738311767578	-189.827486038208	-189.87742805480957	-189.76827290275025
-640.0	-187.901762008667	-187.9987087249756	-188.0452823638916	-187.93059458529814
-636.0	-186.08473205566406	-186.16914749145508	-186.21295738220215	-186.1000862859804
-632.0	-184.2382583618164	-184.35770416259766	-184.3929901123047	-184.27648474143652
-628.0	-182.445219039917	-182.52837562561035	-182.57196235656738	-182.45953738521428
-624.0	-180.63624572753906	-180.70252799987793	-180.7582492828369	-180.64900109153325
-620.0	-178.83033180236816	-178.8899040222168	-178.94520568847656	-178.84464136805028
-616.0	-177.01864624023438	-177.09993171691895	-177.1438159942627	-177.046231406819
-612.0	-175.22790145874023	-175.31139373779297	-175.34615516662598	-175.25355129003157
-608.0	-173.43327522277832	-173.50994300842285	-173.56816864013672	-173.46638721829186
-604.0	-171.6536045074463	-171.71280479431152	-171.80261039733887	-171.684530847004
-600.0	-169.87122535705566	-169.941743850708	-170.01426696777344	-169.90777871970928
-596.0	-168.10339164733887	-168.1517105102539	-168.24926376342773	-168.13593184167848
-592.0	-166.33635902404785	-166.3847942352295	-166.4811611175537	-166.36879541811285
-588.0	-164.57974243164062	-164.61091232299805	-164.72372817993164	-164.60617879516872
-584.0	-162.80386924743652	-162.85458374023438	-162.96527671813965	-162.8478956375941
-580.0	-161.07045555114746	-161.09659957885742	-161.213134765625	-161.09376437702366
-576.0	-159.32643127441406	-159.34058380126953	-159.45778274536133	-159.34360895836144
-572.0	-157.5756778717041	-157.59448623657227	-157.71314430236816	-157.59725990278662
-568.0	-155.83518409729004	-155.8554515838623	-155.9668788909912	-155.85455569226002
-564.0	-154.092924118042	-154.09791564941406	-154.22502326965332	-154.11534446321963
-560.0	-152.36699104309082	-152.36078643798828	-152.4960880279541	-152.37948597662916
-556.0	-150.62126922607422	-150.62744140625	-150.76884651184082	-150.6468538091143
-552.0	-148.90153884887695	-148.91308403015137	-149.03650665283203	-148.91733768724922
-548.0	-147.17946243286133	-147.1801929473877	-147.30882263183594	-147.19084586639607
-544.0	-145.4530258178711	-145.46357345581055	-145.58046913146973	-145.46730743929643
-540.0	-143.73874282836914	-143.73316955566406	-143.85595703125	-143.74667445027205
-536.0	-142.01960563659668	-142.01918411254883	-142.14714431762695	-142.02892369038514
-532.0	-140.30094528198242	-140.30207443237305	-140.41029930114746	-140.31405805839762
-528.0	-138.59456253051758	-138.57775497436523	-138.69570922851562	-138.60210739190595
-524.0	-136.88873863220215	-136.86523818969727	-136.9808406829834	-136.8931287014055
-520.0	-135.19106674194336	-135.14754104614258	-135.27204513549805	-135.18720577485158
-516.0	-133.4878978729248	-133.4387378692627	-133.5680809020996	-133.4844481582213
-512.0	-131.78457069396973	-131.73319244384766	-131.86119651794434	-131.78498955488072
