t	x_single	dW_single	x_b0.0	dW_b0.0	x_b3.0	dW_b3.0	x_b6.0	dW_b6.0
5.5	1.3029385903778983	0.22774598996722953	-1.407149754614939	0.18266319414251841	-0.8111986812236056	-0.22365004189063098	1.5129842246096572	0.24178790150346574
5.6	1.4947261991278513	0.4688758461670758	-1.0081100126507057	-0.006483734895075477	-1.0463677355682863	-0.37014823625983273	1.7036255316726228	-0.09296355463965944
5.7	2.0083441599337055	0.4164061852907664	-0.9164683972090826	-0.17991290243006486	-1.4651996178185938	0.17805951333173764	1.4017926587275418	-0.2458929712497233
5.8	2.396397018634581	0.27776587564568467	-1.0792568241506795	0.08663901828583576	-1.066865477373438	-0.37299483050473703	0.9138682180212113	0.26948025763756656
5.9	2.549577585273689	0.048290621867957864	-0.848805067045092	0.5052807020287319	-1.4876732776309471	-0.1718316747191998	1.2035840313619326	-0.33281491271399555
6.0	2.362913079127417	-0.06354636342525995	-0.04934973872615145	-0.02012715516034791	-1.5819126347010268	0.010203938554394498	0.612554264905589	-0.21421325670168478
6.1	2.0367536422191828	0.5023065006388603	-0.07287886065328794	0.1326809316528782	-1.4092908229376777	-0.12895363735424814	0.24835554554739814	-0.24272619511542215
6.2	2.5434469436689104	-0.18241229301838144	0.12204819842383888	-0.019663028448008713	-1.4507297235076295	0.337081380838679	-0.11974668608278977	-0.22692974843613545
6.3	2.0311323105718495	0.31729759913164607	0.08203565707295307	-0.2437525693130883	-0.8289516907513563	0.16089881285762342	-0.4286991454188082	-0.05236681442729896
6.4	2.2767456475150603	0.1269356480550542	-0.27088609802019964	0.18313142758450973	-0.5185112383632391	0.1259324094962393	-0.45988709005828865	0.21766527682456005
6.5	2.22858519779163	-0.39276375159065985	0.015189460368580321	0.021232357737132945	-0.2885647930750112	0.23072541169717864	-0.10607319450947283	0.2522295449330121
6.6	1.4502748537044186	-0.27696512518982536	0.04369760260473302	-0.20495610864703984	0.06658669263875594	0.060137940163535575	0.26124056821693414	0.4788023363839705
6.7	0.9135595319861636	0.16688618720771525	-0.2505238661955976	-0.21195256876826785	0.14497591396733403	0.2527444725766318	0.9122452692053766	-0.19935633099434868
6.8	1.0582162881094335	-0.12937848745165373	-0.5252176769079383	-0.1313020585910445	0.48791298350330814	-0.3508218780338598	0.5390883152476913	0.16807879903600786
6.9	0.7694258476650442	-0.07770255264899668	-0.6583850612441063	-0.6127047516723938	-0.057015372739707026	-0.09672896309908952	0.7228788008670264	-0.06238057171289335
7.0	0.5825952591113192	-0.24777252484733375	-1.4590419246652342	-0.021619393521426722	-0.18810924695475537	-0.050694550313187814	0.5623714702353625	0.2113676981471032
7.1	0.1739324681776631	-0.33991171605180076	-1.3437121717269935	-0.0012783124248627598	-0.24099124285059528	0.24588816812204184	0.8050533885790422	-0.2977055331402203
7.2	-0.32416853749007235	-0.29809765131466	-1.2111487613224852	-0.028228827591861738	0.1308462636197316	0.2573628524817183	0.3035288471607255	-0.0449901995660128
7.3	-0.7133254251418232	-0.002877007799962238	-1.1299554760205393	-0.10255937816555605	0.4817276736884306	-0.2298032993767951	0.2095502120445255	-0.24063987629064887
7.4	-0.6460615860774006	0.17744059220039213	-1.1620007919687658	-0.46924818524629774	0.10856396366283927	0.21145200472543113	-0.15172098585794647	-0.7529770943579314
7.5	-0.3305165354643524	0.05257118548881684	-1.709417860466166	0.14053714715896026	0.39674586017023983	-0.4022081786038887	-1.2014193062694243	0.016028059559425545
7.6	-0.22311799840960073	-0.07866260153718603	-1.3397265348901244	-0.38545726965279103	-0.2117369869257837	-0.3313928776208447	-1.0586102764350185	0.06393664322414794
7.7	-0.3120519165140798	0.9400496099889721	-1.7508727798593924	-0.0449423532199672	-0.6592235902384513	0.5572880157285353	-0.8623291808113167	-0.2988243068085872
7.8	1.0485841828872713	-0.3047032645558524	-1.639343587322093	0.09229408410127449	0.19482303877667917	-0.26126432370448116	-1.198697650185628	0.1185253816241224
7.9	0.5128102753643005	-0.3220662470299195	-1.3448856831270581	-0.023015053842487698	-0.19414281504810055	-0.14062746675236804	-0.9112076829887843	-0.2738328731382661
8.0	0.006058793295554699	-0.30452385973144375	-1.2429453160971455	0.3527490267633884	-0.3736058042666609	-0.4487099488846654	-1.207345077705633	-0.2277801992087929
8.1	-0.4252088585324106	0.1383722646393829	-0.6197883267247372	-0.3624067944525675	-0.9708169191244269	-0.602662344028159	-1.40874041689619	0.16825538534524997
