E	Sunny	MCX bridge	MCX native	exact
-540.0	-146.4506932573468	-146.44070216557617	-146.40116781045901	-146.42341650179475
-536.0	-144.6994599169821	-144.6398827790918	-144.6498450231648	-144.70566574190784
-532.0	-142.99820642026776	-143.26017811171465	-143.10500114349355	-142.99080010992031
-528.0	-141.3681866769885	-141.45362034722785	-141.3654498586717	-141.27884944342864
-524.0	-139.79777122830734	-139.7148396413678	-139.69740687444414	-139.56987075292818
-520.0	-138.00452467757447	-137.89504815206703	-138.3396163283677	-137.86394782637427
-516.0	-136.42418046202243	-136.28948398882318	-136.34134167848157	-136.161190209744
-512.0	-134.6467863133194	-134.35889572288738	-134.81006417773284	-134.46173160640342
-508.0	-133.12439183938574	-132.75363424535158	-132.78442205545065	-132.76572777110465
-504.0	-131.1414622923158	-131.08030555749696	-131.56843311253033	-131.0733540001645
-500.0	-129.23213401726122	-129.44965441717153	-129.58511984873905	-129.3848023358496
-496.0	-127.78181724946359	-127.84373134791855	-127.60571755878988	-127.70027860947508
-492.0	-125.94965731272993	-125.96145595279961	-126.27985274395235	-126.01999944469716
-488.0	-124.5082190612057	-124.15678798189714	-124.30161113793423	-124.34418933140611
-484.0	-122.58195271663595	-122.71078235220978	-122.63069704943922	-122.6730778636207
-480.0	-121.18801110411465	-120.95252801225928	-121.13804076747573	-121.0068972142252
-476.0	-119.46361303736654	-119.35787681931657	-119.44426504521999	-119.3458798975754
-472.0	-117.90287902524602	-117.90809237842728	-117.85207312534743	-117.69025684988517
-468.0	-116.17812172689906	-116.0449492719369	-116.14403630277059	-116.04025583836034
-464.0	-114.40006508965331	-114.3370429940698	-114.5589283588298	-114.39610019419683
-460.0	-112.8648702386318	-112.84475829608527	-113.0200447053927	-112.75800785223564
-456.0	-111.3271288405495	-111.19440079480347	-111.3136585112801	-111.12619067128185
-452.0	-109.9132091803886	-109.42894157507266	-109.76923267516958	-109.50085400356974
-448.0	-108.17108970324358	-108.01298186401465	-108.02125691731396	-107.882196479121
-444.0	-106.37915593961685	-106.30249845979813	-106.51910835966038	-106.27040997025333
-440.0	-104.89173693599611	-104.66352222556452	-104.6476595334031	-104.66567970268775
-436.0	-103.20412703876815	-103.0352665358601	-103.28856414929794	-103.06818448206297
-432.0	-101.50034050445998	-101.52402328279248	-101.69158002657969	-101.47809700774889
-428.0	-100.31715990978142	-99.95036975634258	-100.11368747441531	-99.89558424930337
-424.0	-98.66189761540323	-98.16574465414732	-98.53363926324965	-98.32080786446357
-420.0	-96.9550629181586	-96.92912251848452	-96.89491697725447	-96.75392464101097
-416.0	-95.34154123923969	-95.2797687292317	-95.31690428662262	-95.19508694807138
-412.0	-93.78513383277192	-93.67754292847457	-93.87678774688345	-93.64444318532776
-408.0	-92.25529683594965	-92.1918556793002	-92.242653246994	-92.10213822120193
-404.0	-90.71789898754383	-90.55492098258799	-90.7892269506604	-90.56831381329056
-400.0	-89.2391327730557	-88.99236583904087	-89.19621571668813	-89.04310900623454
-396.0	-87.74437459759525	-87.52876780671676	-87.73253530698491	-87.52666050378022
-392.0	-86.2105757414875	-86.097763200104	-86.00613824707239	-86.01910301308808
-388.0	-84.74982573028416	-84.57669011968687	-84.77354506405231	-84.52056956038999
-384.0	-83.1440268432753	-83.09593610438452	-83.11431046187516	-83.03119177792308
-380.0	-81.68682041278686	-81.57633588642557	-81.60167570394935	-81.55110016270888
-376.0	-80.25922877261934	-80.18437528839695	-80.13927237616718	-80.08042430822655
-372.0	-78.72958307149116	-78.58406855249285	-78.68665310996323	-78.61929311037764
-368.0	-77.2826797132339	-77.42064477605373	-77.31380288693987	-77.16783494937616
-364.0	-75.86995407652745	-75.80586629285312	-75.78743237125718	-75.72617784934491
-360.0	-74.4081870504279	-74.40363310623894	-74.28218210344346	-74.29444961747157
-356.0	-73.04421779104183	-72.94995554067322	-72.9649713849164	-72.87277796459199
-352.0	-71.68521652846272	-71.60410644571203	-71.67701227862511	-71.46129060903596
-348.0	-70.30074967401475	-70.17225328972035	-70.13978982331412	-70.060115365504
-344.0	-68.86422198745737	-68.84023067642886	-68.80902705674919	-68.66938022064872
-340.0	-67.4080866275736	-67.30898405577011	-67.31157814014267	-67.2892133969236
-336.0	-66.06759246493044	-65.93926832744683	-66.09216000894742	-65.91974340613737
-332.0	-64.73312949753478	-64.55801937587643	-64.68277510401987	-64.56109909402167
-328.0	-63.3385511820498	-63.253802368279366	-63.27632382073057	-63.2134096769872
-324.0	-62.06888737228752	-61.970553218321754	-62.06446386417832	-61.876804772112536
-320.0	-60.7267619937457	-60.73419671618666	-60.656936206260184	-60.551414421282345
