native	replica_exchange
-1.9867104443139652	-1.7297767295501871
-1.9592400270509511	-1.9823044308922178
-1.4956790997121925	-1.6949804379634112
-1.638016355789698	-1.8637484217736588
-1.8645797945259326	-1.7301914014862567
-1.8162174443317536	1.458797425874807
-1.646810144661441	1.2957703154546454
-1.774332668937138	-1.5802112754929254
-1.5462061450193576	-1.6842582196932836
-1.4982716789062047	1.5824996408881022
-1.4923658589844608	1.5786564105761671
-1.919919825153865	-1.7701106725590776
-1.532468780230676	-1.7866702136154098
-1.6044883653724042	-1.624143876019222
-1.6167027814370476	-1.951508164556574
-1.6450431504126233	-1.6778380413525926
-1.8179340611502368	-1.925858328633105
-1.9295769461658954	-1.9736708756030465
-1.600734673102525	-1.9428902776901582
-1.9145443048455504	-1.6649485940508162
-1.6466591665693482	-1.7259575527175428
-1.7955551149037936	-1.88250003805256
-1.6850538084145712	-1.701383355048729
-1.7207053269556194	-1.7298914777648449
-1.43289878489771	-1.767680422653337
-1.6592180620255115	-1.6514786629992932
-1.856668499264401	-1.8997074456079832
-1.9541892756574606	1.3164221175643913
-1.7749718854858605	1.8519317413665928
-1.7365400953523762	-1.6306448956503514
-1.7488888076062563	-1.4215782255097111
-1.7954524752415757	1.5375401979977903
-1.784491204638141	1.694109059320638
-1.6136249243755396	1.6459142095587167
-1.8680856478273822	1.775746415825581
-1.7654196877905322	1.9545471433205122
-1.957383805086443	1.6084300071852666
-2.031781841720855	1.5607711548075274
-1.4712841879560474	1.694236161397816
-1.6143803387968219	1.5528252868670671
-1.4599569247561617	1.9163108777537479
-1.7600296585828625	-1.4113247822267598
-1.9859302611923977	-1.5613372946846
-1.7671042983484813	-1.8201582390588058
-1.5627288661233725	-1.9071821144259549
-2.2643455931002445	-1.7297451602084577
-1.7442635842661705	-1.6616213444250156
-1.553419980167726	-2.066728540545579
-1.9543538520747163	-1.7809325702186947
-2.0471674397900195	-1.7639975234482597
-1.580366915172545	-1.7663227308693634
-1.8194056425171297	-1.7817012756466226
-1.6679459854974619	-1.2743041242507962
-1.586462630579604	-1.8902206493497709
-2.029792984861471	-1.6098490992623948
-1.9223977200548268	-1.940173536324112
-1.9180172879805006	-1.7577345269430835
-1.5915113639605907	-1.878449519302025
-1.768172212675394	-1.5730267945512975
-1.7454132438808911	-1.7358821885423228
-1.8099712255682772	-1.7534849664831955
-1.5960189215532719	-1.660272232889438
-1.8557599023515485	-1.5457872442421858
-1.6034096568445104	-1.5576988996998773
-1.9269253222743363	-1.8207696687001726
-1.4418248172433148	-1.2813025991538916
-1.812008424007907	-1.8728508002715778
-2.0317457484171584	-1.727004009676471
-1.7461781009655	-1.8352288468921598
-1.746628751089933	-1.656374710962083
-1.4576683059288105	-1.7948982042108987
-1.5803201543122398	-1.7444421997588988
-1.6040154664888941	-1.7240951238512885
-1.760325979456674	-1.6203184939254998
-1.6540501815783544	-1.6159426992766972
-1.6963277373644419	-1.6546889144515533
-1.4365956116240768	-1.7820047253419407
-1.7922081267885366	-1.5651028195061363
-1.5584242824653494	-1.9090107838045172
-2.0783068743353894	-1.8638919400428744
-1.9334064523956638	-1.4393674029384262
-1.6993027247106527	1.6357387586683125
-2.039970372428331	1.6084884947489368
-1.8109372355266595	1.4566320991410404
-1.4450804219834545	1.4311930265572634
-1.6582457190832245	1.587786728075288
-1.705546267356818	1.6961445912414
-1.5534232803410397	1.8337828606924058
-1.5784209281750732	1.7909213542941993
-1.7821145896388288	1.9511061125508282
-1.7259675979575597	1.870250941994227
-1.6927740373796893	1.6110335867917274
-1.5006798600791302	1.7357127219275077
-1.7933546706101111	1.9674474181606847
-1.4940258527114632	1.9157956264538687
-1.6593734472861772	-1.4652267168507769
-1.6126583256953804	-1.9876108684360791
-1.6437621718158684	-1.6699570041931187
-1.9359317752696157	-1.916626139059808
-1.4899350328026992	-1.7058684875011285
-1.8961295665848632	-1.8839378056749356
-2.0228259719355486	1.8559373470821208
-1.921473624919869	1.4612074167225524
-1.708741523549173	1.9084911096993264
-2.0384944843255055	1.709834709383321
-1.6639746182705355	1.7733329099458057
-1.6435120151279046	1.4448028113949694
-1.6850206722400483	1.6595026875930858
-1.5382841456820244	1.6318086299570347
-1.4793234480743487	1.6604953330788605
