x_T	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
-4.249999995620048	-3.6635616461296463	-13.243394465755177	-23.30525235426275	-32.8669535753539	-42.360742069249795	-52.466598873883655	-62.3658273694994	-72.07171727768906	-81.96616408557304	-91.9801638609066
-4.149999995723106	-3.332204510175204	-13.628645896882425	-23.74764797356827	-33.263927734267064	-42.77703581611307	-52.875596609368316	-62.71080532115115	-72.48036140104142	-82.37702572822943	-92.36066367494838
-4.049999995826163	-3.367295829986474	-14.038365267567734	-24.126920602565843	-33.676301339268946	-43.11878464635614	-53.259160851998146	-63.1428537772061	-72.85002226330442	-82.74032325403638	-92.76407963896345
-3.949999995929221	-3.6888794541139363	-14.424340909794742	-24.508481962024128	-34.14343626094723	-43.55948914250794	-53.62590304153627	-63.45148310519587	-73.19321614187801	-83.10198969884337	-93.11867199914585
-3.849999996032279	-4.189654742026425	-14.788786355321086	-24.897212754516577	-34.513751299176754	-44.014445172159874	-54.02983181719341	-63.830732780954435	-73.59954543016396	-83.5104057370295	-93.50779338475868
-3.7499999961353367	-4.553876891600541	-15.121726273264862	-25.302997066073523	-34.7718481332012	-44.38069613271805	-54.38344061185152	-64.26713353705946	-73.98927905291514	-83.8624620251864	-93.80531451124479
-3.649999996238394	-5.135798437050262	-15.498892000460808	-25.63689816233265	-35.1088332719973	-44.70742477134696	-54.73591368904589	-64.60247788747742	-74.30586680311691	-84.19159763406378	-94.19325491037216
-3.5499999963414517	-5.648974238161206	-15.831304914481912	-25.974675134336525	-35.513383564035905	-45.029147689940025	-55.080365354500486	-64.97319632684808	-74.68400891051077	-84.56438135554085	-94.53370346399852
-3.449999996444509	-5.860786223465865	-16.168738383776574	-26.29116064285286	-35.869817927301696	-45.39043322038229	-55.41090348840403	-65.26745665375094	-75.02984136530907	-84.9153685924682	-94.84588748405535
-3.349999996547567	-6.142037405587356	-16.533644744353836	-26.595673325018517	-36.21440784460874	-45.75210762868947	-55.70271728829434	-65.57440452828067	-75.35476353333564	-85.23129090428898	-95.16404595450568
-3.249999996650625	-6.795705775173514	-16.892042606390252	-26.91995773730143	-36.49355136857647	-45.99004764900839	-56.03837120558997	-65.82605501238245	-75.64838673795757	-85.55147421047235	-95.43246049766196
-3.1499999967536825	-6.86171134048073	-17.168127453473026	-27.202423946120568	-36.87907363175422	-46.26496267623693	-56.36492120867143	-66.16510169134163	-76.00751139436917	-85.86448369316383	-95.7580219148463
-3.04999999685674	-7.322510433997394	-17.47055071708523	-27.506118609978568	-37.22068286208618	-46.576421436751716	-56.648427385938106	-66.51395343218712	-76.28058980197406	-86.10897658200093	-96.09081310094804
-2.949999996959798	-7.569411792450712	-17.770964822818307	-27.740567777561296	-37.519511995022825	-46.804867070804455	-56.97221776393181	-66.83039409375793	-76.61992876621802	-86.37856394207468	-96.34961668077322
-2.849999997062856	-7.791935956938058	-18.06898506856934	-28.019642425581857	-37.854636981672684	-47.15170535715869	-57.17634803125129	-67.08427571181343	-76.88379067396659	-86.66171500352738	-96.64586045908096
-2.7499999971659133	-8.036249942132116	-18.305560467503966	-28.288090227380046	-38.13759666604966	-47.394820623924694	-57.45731845784543	-67.32776615630335	-77.1452599956725	-86.95619356659802	-96.8751114567895
-2.6499999972689707	-8.463370384718731	-18.570370046619843	-28.51916551686051	-38.41164267687659	-47.69848101982549	-57.7628962364679	-67.5989611126866	-77.38507179706914	-87.17779537262042	-97.07001973287784
-2.5499999973720286	-8.733110697638708	-18.855814098151065	-28.72429604148838	-38.63197479864297	-48.00926925028199	-58.0247006010401	-67.86418282360032	-77.62351128043684	-87.44481216198503	-97.35383437001963
-2.4499999974750866	-8.974111581113318	-19.100142504891622	-28.97728608208815	-38.82679252075776	-48.19558857842592	-58.242960001290626	-68.09489106691235	-77.90049011862936	-87.70343884578688	-97.61836077594867
-2.349999997578144	-9.149953221961088	-19.3392210396594	-29.13623634768501	-39.13198397864643	-48.42048837159197	-58.437884798235885	-68.37170755056809	-78.1512179232845	-87.99229801569201	-97.81098991652343
-2.2499999976812015	-9.366489054466115	-19.554516247181525	-29.332780654963575	-39.34274310200671	-48.680772835123776	-58.65215265370282	-68.6203505876077	-78.35019878373271	-88.18588917820301	-98.04406550802914
-2.1499999977842594	-9.589872098057842	-19.74773051432475	-29.61641956131818	-39.56349328451723	-48.95865209348595	-58.87505587128862	-68.81042961268707	-78.58699247164954	-88.40584763334496	-98.22312348906202
-2.0499999978873173	-9.774517171239168	-19.98409138790318	-29.759461437658867	-39.75616607190613	-49.16527533205487	-59.126182375458484	-68.97113998580421	-78.78934194405798	-88.64489896283656	-98.44784768999408
-1.9499999979903744	-9.978826909081944	-20.14279233257897	-29.963821762674577	-39.946212912806175	-49.371342031713816	-59.27021897169226	-69.18474537134361	-79.00534032579017	-88.7954351909712	-98.64203488130029
-1.8499999980934323	-10.200661930171254	-20.34744854022516	-30.126222848587645	-40.089770157551435	-49.54384071445021	-59.474748862562336	-69.3713628461553	-79.18180265764136	-88.99163865409602	-98.79569253691666
-1.7499999981964907	-10.36119716915088	-20.498214152553636	-30.317776470152005	-40.30546729397021	-49.711867748850864	-59.62312503865135	-69.5551514559939	-79.36284371107516	-89.18327568847396	-99.02126425877739
-1.6499999982995481	-10.5138236135709	-20.65577673351902	-30.461044878548687	-40.49538523950358	-49.81035586055784	-59.80769798856559	-69.74234500335082	-79.50806362614205	-89.35988939535429	-99.16725143579303
-1.5499999984026056	-10.659633006160352	-20.77151588766178	-30.628069053008694	-40.58684939129353	-50.02671292154797	-59.93707677802353	-69.90803604567468	-79.65726457918174	-89.54431782525444	-99.31575859687024
-1.449999998505663	-10.823909738189732	-20.918967612200966	-30.744439567752355	-40.72706172345221	-50.16230409975746	-60.112054816763234	-70.11248757535584	-79.78574401907586	-89.65531277840836	-99.44546364560549
-1.3499999986087206	-10.970179085077808	-21.02036101676474	-30.886250538885548	-40.88867803927658	-50.31372648374587	-60.203672765715325	-70.21847805438341	-79.97462501902083	-89.84020299848375	-99.63214427627496
-1.249999998711778	-11.079431184140562	-21.197546128222562	-30.978866046784482	-41.000092189544866	-50.389247978985715	-60.366450569344124	-70.29735871745625	-80.07635956486938	-89.96676187785685	-99.75483857888166
-1.1499999988148355	-11.191217695205982	-21.29129946382278	-31.071715018768913	-41.093652051504584	-50.54991456168432	-60.45425175317502	-70.39083553320035	-80.18606950029621	-90.13002698538605	-99.88071294766422
-1.0499999989178939	-11.296745114207159	-21.43419745668908	-31.18255051227522	-41.199813079070196	-50.68040956967478	-60.5361763859995	-70.51944507354048	-80.29923840373027	-90.20232587624506	-100.0023400203049
-0.9499999990209522	-11.393680110646876	-21.532042137372912	-31.24889886152699	-41.29440667408355	-50.7869139378234	-60.651400753009796	-70.57870248364517	-80.41439287811548	-90.24380322725528	-100.13956098172947
-0.8499999991240097	-11.502622571974332	-21.62821313464942	-31.377324982041994	-41.34917187209147	-50.84001863277034	-60.76600126313384	-70.67407826800377	-80.41710359809883	-90.36058079885112	-100.1867012278108
